Classification,Source,Question,Answer
negation_cnn.txt,LarryKingLive/0601-20-lkl.01.txt,A: Are you bitter?,B: I'm not bitter because I'm a soldier.
adverb_adjectives_cnn.txt,LateEdition/0209-01-le.00.txt,A: What about in New York?  Is the labor movement a powerful force?,B: The labor movement is still quite powerful in New York.
adjectives_cnn.txt,LouDobbsTonight/0306-16-ldt.00.txt,A: The money that you authorized last week for heightened security at our ports is it sufficient?,B: I think it is a very significant down payment.
adjectives_cnn.txt,TheSituationRoom/0703-16-sitroom.01.txt,A: What do you think?  Is he qualified?  Is he ready to be president?,B: I think he's young.
adjectives_cnn.txt,LateEdition/0212-08-le.00.txt,"A: A lot of hawks in the administration, in the Bush administration and on Capitol Hill, are suggesting that he go ahead and find some nuclear scientists in Iraq or chemical or weapons experts, get them to defect, seek political asylum, take them abroad outside of Iraq with their families, as authorized under U.N. Security Council Resolution 1441, and then question those experts, those Iraqi experts.  Only then will they they be able to find the truth, the whole truth and nothing but the truth.  Is that a good idea?","B: Well, I don't think it ought to be the exclusive idea."
negation_cnn.txt,LateEdition/0203-31-le.00.txt,"A: I'm just guessing here, but I imagine that you would tell me that they sort of broke the mold here and that the new generation of royalty in England is not along the same lines as the Queen Mother.  Is that true?","B: I think that's not true, really."
negation_cnn.txt,AndersonCooper360/0710-01-acd.01.txt,A: And he ordered twice-weekly drug tests for her and ordered her to spend eight hours every week working with a parenting coach.  Is that unusual?,"B: Well, it's not unusual when you have a parent who is proved to be a drug addict and an unfit parent."
adjectives_cnn.txt,AndersonCooper360/0805-08-acd.01.txt,"A: It's been intense in the primaries.  But you realize it's going to be much more intense in the next chapter, in the next phase, given the differences between you and John McCain.  Are you ready for this next phase?",B: I'm actually looking forward to it.
negation_cnn.txt,TheSituationRoom/0510-19-sitroom.01.txt,"A: And did you have plans for making some of those -- the turnpike, the interstate, some of those major highways flow in one direction, all one way? Is that necessary at any time soon?",B: It's not necessary any time soon.
adjectives_cnn.txt,LarryKingLive/0608-06-lkl.01.txt,"A: You helped settle Ireland, Great Britain. Is this comparable?","B: I think this is more difficult, Larry, more complex."
adjectives_cnn.txt,AndersonCooper360/0608-15-acd.01.txt,"A: The argument that a lot of Democrats make is that the whole Bush administration strategy in Iraq has proven to be incompetent and that's taken away from the urgency of fighting al Qaeda and the war on terror by diverting resources.  Is that an effective, strong argument?","B: It was the best argument they had, right after London."
adjectives_cnn.txt,AndersonCooper360/0702-09-acd.01.txt,"A: He spent eight years in state politics, the last two in national politics.  It is, in the end, the biggest question on the Barack Obama band wagon.  Is that enough to be leader of the western world?",B: I'm ready.
adjectives_cnn.txt,AndersonCooper360/0810-25-acd.01.txt,A: What's it like when you first came back and enrolled in school?  Most of the people in school probably hadn't been serving. Was it strange to kind of be around the people who hadn't been overseas?,B: It wasn't weird.
adjectives_cnn.txt,AndersonCooper360/0802-07-acd.02.txt,"A: Health care is obviously an issue which tops all the lists of what people say should be a major priority for this next administration, more uninsured Americans than ever.  And yet it would require a tremendous political capital expenditure by a president to get anything done on it.  Is it necessary?",B: It's vital that we reform the health care system.
adjectives_cnn.txt,LouDobbsTonight/0703-28-ldt.02.txt,A: Is it your sense you're going to be able to get your law through?,B: We're very confident.
adjectives_cnn.txt,LateEdition/0212-22-le.00.txt,A: Are you satisfied?,B: I am encouraged that he will do that.
adjectives_cnn.txt,LateEdition/0006-11-le.00.txt,"A: Are you encouraged, though, that there's a new younger leadership emerging in the Arab world King Abdullah of Jordan in his 30's, obviously now Bashar in his 30's emerging in Syria.  Are these new younger perhaps more educated, more Western oriented leaders, especially in the Syrian case, is that going to have the kind of dramatic impact that you and so many others had worked for over these many years?",B: I think it can have a significant impact.
adverb_adjectives_cnn.txt,LouDobbsTonight/0506-16-ldt.01.txt,"A: Mohammed Khalaf Shkarah, the al Qaeda head in Mosul, Zarqawi's agent and deputy, you think that's highly significant?",B: Very significant.
adverb_adjectives_cnn.txt,AndersonCooper360/0702-22-acd.01.txt,"A: Dicey because, I mean, it seems, from my reading of it, these facilities are spread out here pretty far and wide in Iran. It's not like when Israel bombed Iraq years ago.  You know, there was just one site to strike.  There are multiple sites.  And they are deep in the ground.  And there is no clear indication that we can knock them out.  Is that correct?",B: That's basically correct.
numeric.txt,Fisher/fe_03_05856.txt,A: Is the weather warm there?,B: We've had almost eighty degrees for this week.
avoided_adjective.txt,LateEdition/0207-07-le.00.txt,"A: Brian, on that issue of general aviation, the smaller planes, the charter flights some of them obviously very big planes, you really don't need much security to get on board one of those planes right now.  Is that a huge gap in the system?",B: It is a gap.
adverb_adjectives_cnn.txt,LouDobbsTonight/0309-11-ldt.00.txt,"A: Have you been surprised by the Pentagon's reluctance to seek precisely that, a significant increase in the level of force in uniform?","B: Well, a little bit surprised."
negation_cnn.txt,LarryKingLive/0303-27-lkl.00.txt,A: What does the military want and not want covered?  Is it a thin line?,B: I don't think the line is too thin.
negation_cnn.txt,LarryKingLive/0401-15-lkl.00.txt,A: Let's say that's the case.  And we'll get to Paul O'Neill in the next segment.  Let's say that is the case.  Was the result bad?,"B: Of course, the result was not bad."
adverb_adjectives_cnn.txt,LarryKingLive/0204-23-lkl.00.txt,"A: Brilliant job then.  Do I gather you think that this case looks -- I don't want to put words in your mouth, does it look airtight to you?  Does it look that strong?","B: Well, it looks pretty strong to me."
adverb_adjectives_cnn.txt,TheSituationRoom/0512-05-sitroom.01.txt,"A: At this time of holiday purchases, Christmas shopping, people going to a Wal-Mart and other stores, they see a lot of products made in China. The deficit, the trade deficit, with China this year is projected to be at $200 billion. In other words, they're going to export to this country $200 billion more than we export to China. And that number has been escalating over these years. Is that good for the U.S. economy?","B: Well, trade overall is absolutely good for the U.S. economy."
adjectives_cnn.txt,TheSituationRoom/0603-06-sitroom.01.txt,A: You were just here in Dubai on vacation.  Give us a little personal reflection on how you felt here.  Were you scared?,B: I felt incredibly safe there.
adjectives_cnn.txt,AndersonCooper360/0503-30-acd.01.txt,A: Is there a calm atmosphere in the room?,B: It's quiet.
adverb_adjectives_cnn.txt,LateEdition/0307-27-le.00.txt,"A: General Benton, I'll give you the last word.  Is the U.S. Army already stretched too thin?","B: Well, we are stretched thin right now."
adjectives_cnn.txt,AndersonCooper360/0407-16-acd.00.txt,"A: That's the cool thing about HBO, they do this well.  Is this worth seeing?",B: I think it's really really funny.
adverb_adjectives_cnn.txt,LateEdition/0407-18-le.00.txt,A: What about that?  Are you open to a new intelligence czar?,B: I'm very open to it.
adjectives_cnn.txt,LouDobbsTonight/0309-25-ldt.00.txt,"A: In this situation, proximity to the epicenter in Hokkaido means those waves will be actually smaller and less of a threat, although significant, than perhaps to other parts of the Pacific region if they do materialize.  Is that correct?",B: That's true.
adverb_adjectives_cnn.txt,LarryKingLive/0203-11-lkl.00.txt,A: Were you close to your brother?,"B: Very, very close to him."
adverb_adjectives_cnn.txt,LarryKingLive/0601-27-lkl.01.txt,A: I mean was he impressive?  Did the judge appear fair to you?,B: The judge appeared very fair.
adverb_adjectives_cnn.txt,LarryKingLive/0212-13-lkl.00.txt,A: And I'm sure that I have received telepathic messages from her.  I wrote a book about her.  And I was -- things were revealed to me that I had no way of knowing.  Is that possible?,B: Very possible.
adverb_adjectives_cnn.txt,LarryKingLive/0606-05-lkl.01.txt,"A: Ball games, ballet.  Was it hard for you?",B: That was very hard.
adjectives_cnn.txt,AndersonCooper360/0702-02-acd.01.txt,A: The FEMA director is coming down tomorrow.  Are you confident you are going to get the help you need from FEMA?,B: We're very optimistic.
adjectives_cnn.txt,LouDobbsTonight/0507-25-ldt.01.txt,"A: We are watching what is -- it looks like -- some have called it a coronation, canonization. It looks like anything but a typical confirmation. Is Judge Roberts really this good?",B: He is great.
adjectives_cnn.txt,LarryKingLive/0511-22-lkl.01.txt,"A: We'll be right back and take some calls for Jerry Seinfeld.  We now have out season five and season six with bonus features, packed with hours of never-before-seen footage.  I love this, all new interviews with the cast and the creators available now for Christmas.  Was that good?",B: That's very nice.
adjectives_cnn.txt,TheSituationRoom/0605-12-sitroom.02.txt,"A: We'll be seeing you here in Washington Monday for our special coverage.  You'll be doing your program from 6 to 7. You'll stay with us in THE SITUATION ROOM.  We'll get to the president's speech at 8 p.m. Eastern, then a special edition of &quot;LOU DOBBS TONIGHT&quot; coming up after the president's speech at 8:30.  Did I get it all right?",B: I think you did very well.
adverb_adjectives_cnn.txt,LateEdition/0612-17-le.01.txt,"A: You basically have concluded that it's over in Iraq for all practical purposes, but the Bush administration hasn't come to that reality.  Is that correct?",B: That's basically correct.
adjectives_cnn.txt,LarryKingLive/0106-17-lklw.00.txt,A: Britain's had a history of strong women.  You had strong queens.  Was it still unusual for women to be in Parliament?,B: It was still quite difficult for us to get into Parliament.
numeric.txt,sw01utt/sw_0152_3108.utt,A: Do you rent movies very often?,B: We generally rent a couple a week.
adjectives_cnn.txt,LouDobbsTonight/0804-08-ldt.01.txt,A: Do you think that's a good idea?,B: It's a terrible idea.
negation_cnn.txt,LarryKingLive/0202-12-lkl.00.txt,A: Am I remembering right?  Didn't you live within proximity of the World Trade Center?  Didn't you have a good view of it?,"B: We had a view of it, not a particularly good one."
adjectives_cnn.txt,LouDobbsTonight/0802-07-ldt.02.txt,A: And you really think that that is a significant and perhaps determining advantage?,B: I think it is a big advantage.
adjectives_cnn.txt,LateEdition/0209-15-le.00.txt,"A: That's a pretty blunt threat, if I've heard him correctly.  Do you think that's the right kind of tone to take right now?",B: I think the Powell tone is a lot better.
adjectives_cnn.txt,AndersonCooper360/0312-05-acd.00.txt,"A: It starts Sunday night, HBO.  It's over the course of two weeks on Sunday nights.  Is it great?",B: It's the perfect thing to watch over the course of a blizzard.
adjectives_cnn.txt,AndersonCooper360/0406-06-acd.00.txt,A: There were -- some criticized -- especially early on in the administration of being a non-defined president.  That he really wasn't -- that he didn't have his hands on the issues.  Some even sort of sarcastically said he was reading a script.  Sort of playing the role of president.  A lot of people changed their minds over time. Was that a fair criticism ever?,B: Well it was totally unfair.
adjectives_cnn.txt,LouDobbsTonight/0512-19-ldt.01.txt,"A: I don't know if you saw our previous interview, but we were talking about $13 billion cut out of student aid budgets.  Do you think that's a big problem we should be funding?",B: I think it's a huge problem.
adjectives_cnn.txt,LouDobbsTonight/0611-28-ldt.01.txt,A: Big old corporations?,B: They are mid-range corporations.
numeric.txt,sw10utt/sw_1031_2386.utt,A: Are exercise bikes kind of expensive?,B: This is five hundred.
adjectives_cnn.txt,LateEdition/0607-23-le.01.txt,"A: He was referring to Syria and Iran, which the U.S. sees as behind Hezbollah's move and Hamas' moves in Gaza, for that matter. Is it wise right now, as Condoleezza Rice prepares to head off to the region, for the United States to start engaging Syria and Iran directly?","B: Well, I don't think that's appropriate."
adjectives_cnn.txt,LarryKingLive/0005-10-lkl.00.txt,A: This is not just one party or the other.  Is the whole thing almost like hypocritical?,"B: Well, I think it's interesting."
numeric.txt,sw03utt/sw_0310_3699.utt,A: Is it a fairly large house?,B: It's like twenty-four fifty square feet.
adjectives_cnn.txt,LarryKingLive/0504-15-lkl.01.txt,A: Was he a successful ruler?,"B: Oh, a tremendous ruler."
adjectives_cnn.txt,LateEdition/0306-22-le.00.txt,"A: So what is your bottom line?  Is the regime of the Ayatollah Khamenei and President Khatami, is that regime in trouble right now of sustaining these kind of demonstrations?","B: Clearly, the regime is panicking."
adjectives_cnn.txt,TheSituationRoom/0806-25-sitroom.01.txt,A: Including Myrtle Beach.  We were there not that long ago for one of the Democratic debates.  Are you comfortable with oil platforms going up off the coast of South Carolina?,B: If the State of South Carolina agrees it would be OK with me.
adjectives_cnn.txt,AndersonCooper360/0603-23-acd.01.txt,"A: Donald Rumsfeld has talked a lot about making the military more flexible.  Is he flexible in his management style, his leadership style?",B: He was utterly inflexible in this war.
adjectives_cnn.txt,LateEdition/0703-11-le.01.txt,"A: What you do think?  Obviously, Fred Thompson would do well among conservatives.  Would he make a good president?",B: I think he is a solid guy.
adjectives_cnn.txt,LateEdition/0212-01-le.00.txt,A: What about that?  Are you ready to go ahead and question President Bush?,B: I think it's premature at this point.
adverb_adjectives_cnn.txt,LarryKingLive/0110-22-lkl.00.txt,A: We've got 30 seconds.  And we are going to have all of you back on a number of occasions.  Are you optimistic?,B: I'm very optimistic.
adjectives_cnn.txt,LarryKingLive/0112-08-lklw.00.txt,"A: Concerning the Middle East, I know Norway is one of the major mediators between the two parties, you delivered a message from Mr. Arafat to the president. Are you encouraged by anything happening in the Middle East to tell you that peace is possible?",B: I'm not so optimistic for the time being.
adjectives_cnn.txt,LarryKingLive/0301-06-lkl.00.txt,A: Just asked about alcohol.  Does it have a large impact?,B: It has a medium-sized impact.
negation_cnn.txt,LarryKingLive/0210-16-lkl.00.txt,A: And he is definitely crazy?,"B: Well, he's definitely not crazy."
negation_cnn.txt,LarryKingLive/0212-05-lkl.00.txt,A: Hello.  There have always been rumors that James Hewitt is the father of Prince Harry.  Is this true?,B: That is not true.
adverb_adjectives_cnn.txt,LouDobbsTonight/0703-01-ldt.01.txt,A: And you tried to get this fixed in the last Congress and didn't go through.  Are you optimistic you can get it through?,B: Much more optimistic.
negation_cnn.txt,TheSituationRoom/0604-05-sitroom.01.txt,"A: I'll give you one final example of what they say was a waste of money -- 13 -- what they said was $13.5 million allocated for the Jay Bennett Johnson Waterway, which the U.S. Army Corps of Engineers believes won't be justified until 2046.  Are you familiar with that specific project?",B: I'm not familiar with that specific project.
adverb_adjectives_cnn.txt,LateEdition/0702-11-le.01.txt,"A: All right, so you're not running either.  Is that right?",B: That's absolutely right.
adjectives_cnn.txt,TheSituationRoom/0710-30-sitroom.01.txt,"A: I believe, Carol, he didn't say, &quot;Don't tase me, bro.&quot; It was more like, &quot;Don't tase me, bro!&quot;  Is that right?",B: I think that is more accurate.
adjectives_cnn.txt,LarryKingLive/0709-25-lkl.01.txt,A: Correct. They should have tasted it. Is it big in Europe?,B: Huge. Absolutely huge.
adjectives_cnn.txt,LateEdition/0006-25-le.00.txt,"A: Let's talk a little bit about the death penalty of course has become such a controversial issue here in United States over these past several months.  You are now suggesting, and I want to make sure we get your position accurate, that there should be a moratorium on capital punishment in the United States.  Is that correct?",B: That is true.
adverb_adjectives_cnn.txt,LateEdition/0308-03-le.00.txt,A: Is that true?,"B: Well, look, it's absolutely true that neither the vice president nor Dr. Rice nor even George Tenet knew that I was traveling to Niger."
adjectives_cnn.txt,AndersonCooper360/0611-30-acd.01.txt,"A: A source has told CNN that the Iraq Study Group's going to recommend a gradual but what they call meaningful reduction of U.S. troops as early as January.  Do you think, first of all, that that is a good idea?","B: Well, it's better than nothing."
negation_cnn.txt,AndersonCooper360/0705-17-acd.02.txt,A: Out of this area.  They say that in Kisangani in 2002 that you ordered the execution of 160 people.  Is that true?,B: Not true.
adjectives_cnn.txt,LouDobbsTonight/0410-19-ldt.01.txt,"A: Do you think that's a good idea, Roger, that we just begin to ignore these numbers?",B: I think it's an excellent idea.
adjectives_cnn.txt,LouDobbsTonight/0702-02-ldt.01.txt,"A: Little things like flying U.S. military aircraft for yourself, your family, the delegation, your pals and everyone else is a little thing?","B: In the greater scheme of things, it is small."
adjectives_cnn.txt,LarryKingLive/0206-27-lkl.00.txt,"A: The voice idea.  Isn't that a good one, tape his voice and play it for the girl?",B: I think it's a wonderful idea.
adjectives_cnn.txt,LarryKingLive/0206-07-lkl.00.txt,A: The prosecutor praised you.  Did he do a good job?,B: He did a great job.
adjectives_cnn.txt,AndersonCooper360/0407-30-acd.00.txt,"A: I understand, though, that you wanted to confront him, you wanted the ability to speak to him, say stuff to him, but the prison wouldn't allow that.  Is that correct?",B: That's right.
numeric.txt,sw05utt/sw_0598_2858.utt,A: Are you newly married?,B: Two years.
adverb_adjectives_cnn.txt,LarryKingLive/0302-13-lkl.00.txt,"A: Now, I understood from your wife, who is ill tonight, that you had reached out, that your family had reached out to Scott Peterson, and he is no longer returning calls or corresponding with you in any way.  Is that true?",B: That's pretty much true.
adverb_adjectives_cnn.txt,LateEdition/0706-17-le.01.txt,"A: These were the first Katyusha rockets, I believe, that landed in northern Israel from southern Lebanon since the Israeli war with Hezbollah last summer.  It's almost a year since then.  Is that right?",B: That's exactly right.
numeric.txt,AndersonCooper360/0412-17-acd.01.txt,"A: Well, what about this notion of fan mail?  Has Scott continued to get a lot of mail since the verdict, and then the sentencing?",B: He gets about eight to 10 letters a day.
adjectives_cnn.txt,LouDobbsTonight/0606-15-ldt.01.txt,A: Will the result be marginal?  Will it be gradualism of such a minute amount that it will have little to no impact?,B: I think it will have substantial impact.
adjectives_cnn.txt,TheSituationRoom/0809-12-sitroom.02.txt,"A: I love the sunny optimism first of all.  We are hoping for the best, too.  The seawall is holding.  Looks like about three or four feet.  I just walked back there.  About three or four feet, the water is below the wall right now.  I'm wondering, the worst is still yet to come.  Area talking about six or eight hours from now is going to be the peak.  Are you still optimistic when you look at it that way?","B: We are very, very worried about the topping of the seawall."
numeric.txt,sw11utt/sw_1114_2262.utt,A: Are you a young person?,B: I'm thirty-one year-old.
negation_cnn.txt,LarryKingLive/0210-16-lkl.00.txt,A: Is he definitely white?,B: He may be white.
avoided_adjective.txt,LouDobbsTonight/0807-28-ldt.01.txt,"A: Yes.  Let's talk about the 10 other states that also allow this, which is pretty much an eye opener for a lot of people. You tried a similar case in Kansas.  Basically, how will your decision here affect other state, I guess? Will it be -- have broad repercussions?","B: Well, it may have repercussions."
adverb_adjectives_cnn.txt,LarryKingLive/0510-31-lkl.01.txt,A: That's -- you know something first of all did you like the book?  Did you find it interesting?,B: It's more than interesting.
adverb_adjectives_cnn.txt,LarryKingLive/0504-22-lkl.01.txt,"A: President Bush said God wants everyone to be free.  But over 100,000 Iraqi men, women and children have died since we invaded their country.  Do you believe God would approve of people being killed in order to spread freedom? Isn't something wrong with that picture?",B: Something's drastically wrong.
adjectives_cnn.txt,LouDobbsTonight/0608-08-ldt.01.txt,A: It's after 1:00 in the morning there in Beirut. Give us a sense as to the intensity of the Israeli air strikes there tonight.  Is it relatively quiet as compared to previous nights?,"B: Compared to previous nights, this certainly lighter than it was on Monday."
adjectives_cnn.txt,AndersonCooper360/0309-12-acd.00.txt,"A: Right.  Details really haven't made it out about what's going to happen to him.  But he's on probation.  He's not going to be allowed to go to San Francisco, and he's not going to be allowed to, you said, practice law.  Is that right?",B: That's correct.
adjectives_cnn.txt,AndersonCooper360/0701-11-acd.02.txt,"A: A lot of people say, well look, it's not just about numbers of police because you also have now National Guard.  You've got sheriff's deputies, you've got state police here.  Is something wrong with the police force?",B: I think the police force can get better.
adverb_adjectives_cnn.txt,LateEdition/0404-18-le.00.txt,"A: Is this an assignment for the Marines that they're well prepared for?  I remember -- and many of our viewers of course remember -- what happened in Beirut in 1983, when Marines were sent in there.  Is this a different operation from your perspective?",B: It's quite different.
